,age,capital-gain,capital-loss,education-num,education_type,employment_type,fnlwgt,hours-per-week,marital-status,native-country,race,relationship,sex
32,24.0,0.0,0.0,13.0,2.0,2.0,188274.0,50.0,1.0,1.0,0.0,3.0,1.0
33,23.0,0.0,0.0,10.0,0.0,0.0,258120.0,40.0,0.0,1.0,0.0,2.0,1.0
34,26.0,0.0,0.0,9.0,0.0,1.0,43311.0,40.0,1.0,1.0,0.0,0.0,0.0
37,22.0,0.0,0.0,3.0,0.0,1.0,248446.0,50.0,1.0,0.0,0.0,3.0,1.0
38,17.0,0.0,0.0,6.0,-9.223372036854776e+18,1.0,269430.0,40.0,1.0,1.0,0.0,3.0,1.0
39,20.0,0.0,0.0,9.0,0.0,1.0,257509.0,40.0,1.0,1.0,0.0,4.0,1.0
42,36.0,0.0,0.0,9.0,2.0,1.0,465326.0,40.0,0.0,1.0,0.0,2.0,1.0
43,29.0,0.0,0.0,7.0,0.0,1.0,103634.0,40.0,0.0,1.0,0.0,2.0,1.0
44,20.0,0.0,0.0,10.0,0.0,0.0,138371.0,32.0,1.0,1.0,0.0,4.0,1.0
45,28.0,0.0,0.0,11.0,2.0,1.0,242832.0,36.0,0.0,1.0,0.0,1.0,0.0
46,39.0,0.0,0.0,4.0,0.0,1.0,290208.0,40.0,0.0,0.0,0.0,2.0,1.0
48,52.0,0.0,0.0,7.0,0.0,1.0,201062.0,18.0,1.0,1.0,3.0,3.0,0.0
49,56.0,0.0,0.0,9.0,0.0,2.0,131916.0,50.0,1.0,1.0,0.0,3.0,0.0
50,18.0,0.0,0.0,10.0,0.0,1.0,54440.0,20.0,1.0,1.0,0.0,4.0,1.0
51,39.0,0.0,0.0,9.0,-9.223372036854776e+18,1.0,280215.0,40.0,1.0,1.0,3.0,4.0,1.0
52,21.0,0.0,1.0,10.0,0.0,1.0,214399.0,24.0,1.0,1.0,0.0,4.0,0.0
53,22.0,1.0,0.0,9.0,2.0,1.0,54164.0,60.0,1.0,1.0,0.0,3.0,1.0
54,38.0,0.0,0.0,5.0,0.0,1.0,219446.0,54.0,1.0,0.0,0.0,3.0,1.0
55,21.0,0.0,0.0,10.0,0.0,1.0,110677.0,40.0,1.0,1.0,0.0,4.0,0.0
59,33.0,0.0,0.0,9.0,0.0,1.0,269705.0,40.0,0.0,1.0,0.0,2.0,1.0
60,30.0,0.0,0.0,13.0,2.0,1.0,101135.0,50.0,1.0,1.0,0.0,3.0,0.0
61,39.0,0.0,0.0,10.0,-9.223372036854776e+18,1.0,118429.0,40.0,1.0,1.0,0.0,3.0,1.0
62,26.0,0.0,0.0,14.0,0.0,1.0,31208.0,40.0,1.0,1.0,0.0,3.0,0.0
63,33.0,0.0,0.0,9.0,0.0,1.0,281384.0,40.0,1.0,1.0,0.0,4.0,0.0
64,47.0,0.0,0.0,9.0,0.0,0.0,171807.0,40.0,1.0,1.0,0.0,3.0,0.0
67,19.0,0.0,0.0,10.0,0.0,1.0,105460.0,20.0,1.0,1.0,0.0,4.0,1.0
68,46.0,0.0,0.0,9.0,0.0,1.0,170338.0,40.0,1.0,1.0,0.0,3.0,1.0
69,43.0,0.0,0.0,9.0,-9.223372036854776e+18,1.0,102606.0,48.0,0.0,1.0,0.0,2.0,1.0
72,30.0,0.0,0.0,9.0,2.0,1.0,229636.0,40.0,0.0,0.0,0.0,2.0,1.0
73,21.0,0.0,0.0,10.0,0.0,1.0,388946.0,40.0,1.0,1.0,0.0,3.0,0.0
74,46.0,0.0,0.0,10.0,0.0,1.0,269034.0,40.0,0.0,0.0,4.0,2.0,1.0
77,69.0,0.0,0.0,9.0,-9.223372036854776e+18,2.0,174379.0,30.0,0.0,1.0,0.0,2.0,1.0
78,50.0,0.0,0.0,9.0,1.0,1.0,312477.0,40.0,0.0,1.0,0.0,2.0,1.0
79,20.0,0.0,0.0,10.0,1.0,1.0,72055.0,40.0,1.0,1.0,0.0,3.0,0.0
80,45.0,0.0,0.0,10.0,0.0,2.0,67001.0,50.0,0.0,1.0,0.0,2.0,1.0
81,23.0,0.0,0.0,13.0,2.0,1.0,213734.0,40.0,1.0,1.0,0.0,3.0,1.0
82,24.0,0.0,1.0,10.0,0.0,1.0,83141.0,40.0,1.0,1.0,0.0,3.0,1.0
84,31.0,0.0,0.0,10.0,0.0,2.0,113752.0,50.0,0.0,1.0,0.0,2.0,1.0
85,43.0,0.0,0.0,9.0,0.0,1.0,170482.0,44.0,1.0,1.0,0.0,3.0,0.0
86,20.0,0.0,0.0,7.0,0.0,0.0,244689.0,10.0,1.0,1.0,0.0,4.0,0.0
87,55.0,0.0,0.0,9.0,0.0,1.0,160631.0,56.0,0.0,1.0,0.0,2.0,1.0
88,24.0,0.0,0.0,10.0,1.0,0.0,228724.0,40.0,1.0,1.0,0.0,3.0,1.0
90,59.0,0.0,0.0,13.0,0.0,1.0,292946.0,25.0,1.0,1.0,0.0,3.0,0.0
91,49.0,0.0,0.0,4.0,0.0,0.0,77443.0,20.0,1.0,1.0,3.0,3.0,1.0
93,59.0,0.0,0.0,13.0,-9.223372036854776e+18,0.0,98984.0,40.0,1.0,1.0,0.0,3.0,1.0
94,34.0,0.0,0.0,14.0,2.0,1.0,198751.0,40.0,1.0,1.0,1.0,3.0,1.0
95,20.0,0.0,0.0,9.0,0.0,1.0,479296.0,40.0,1.0,1.0,0.0,4.0,1.0
96,25.0,0.0,0.0,13.0,0.0,1.0,235218.0,40.0,1.0,1.0,0.0,4.0,0.0
97,49.0,0.0,0.0,6.0,0.0,1.0,164877.0,40.0,0.0,1.0,0.0,2.0,1.0
98,59.0,0.0,0.0,9.0,0.0,1.0,272087.0,40.0,0.0,1.0,0.0,2.0,1.0
99,20.0,0.0,0.0,9.0,0.0,1.0,169699.0,40.0,1.0,1.0,0.0,3.0,0.0
101,33.0,0.0,0.0,10.0,2.0,1.0,202191.0,35.0,1.0,1.0,3.0,0.0,0.0
102,22.0,0.0,0.0,10.0,0.0,1.0,212261.0,39.0,1.0,1.0,3.0,4.0,1.0
103,58.0,0.0,0.0,5.0,0.0,2.0,301568.0,40.0,1.0,1.0,0.0,3.0,0.0
104,52.0,0.0,0.0,9.0,0.0,0.0,155233.0,28.0,1.0,1.0,0.0,0.0,0.0
105,36.0,0.0,0.0,6.0,0.0,1.0,75826.0,40.0,1.0,1.0,0.0,3.0,0.0
106,41.0,0.0,0.0,9.0,-9.223372036854776e+18,0.0,201520.0,40.0,0.0,1.0,0.0,2.0,1.0
107,28.0,1.0,0.0,9.0,1.0,1.0,154236.0,40.0,1.0,1.0,0.0,4.0,1.0
108,19.0,0.0,0.0,10.0,0.0,1.0,289227.0,16.0,1.0,1.0,3.0,4.0,1.0
109,18.0,0.0,0.0,9.0,0.0,1.0,217439.0,28.0,1.0,1.0,0.0,3.0,0.0
110,18.0,0.0,0.0,9.0,2.0,1.0,179020.0,48.0,1.0,1.0,0.0,4.0,0.0
111,28.0,0.0,0.0,10.0,0.0,1.0,149624.0,40.0,0.0,1.0,0.0,2.0,1.0
114,40.0,0.0,0.0,10.0,0.0,1.0,103541.0,40.0,0.0,1.0,0.0,2.0,1.0
115,26.0,0.0,0.0,9.0,1.0,1.0,206721.0,40.0,1.0,1.0,0.0,0.0,1.0
116,46.0,0.0,0.0,9.0,0.0,1.0,96773.0,40.0,0.0,1.0,0.0,2.0,1.0
117,23.0,0.0,0.0,7.0,0.0,1.0,200967.0,24.0,1.0,1.0,0.0,3.0,0.0
118,44.0,0.0,0.0,9.0,0.0,1.0,180019.0,40.0,1.0,1.0,0.0,0.0,0.0
119,43.0,0.0,0.0,13.0,0.0,1.0,179866.0,40.0,1.0,1.0,0.0,0.0,0.0
120,31.0,0.0,0.0,13.0,0.0,0.0,198770.0,60.0,1.0,1.0,0.0,0.0,0.0
121,18.0,0.0,0.0,10.0,2.0,1.0,219256.0,25.0,1.0,1.0,0.0,4.0,0.0
122,19.0,0.0,0.0,10.0,2.0,1.0,248730.0,30.0,1.0,1.0,0.0,4.0,1.0
123,41.0,0.0,0.0,10.0,2.0,1.0,110732.0,40.0,1.0,1.0,0.0,3.0,0.0
124,41.0,0.0,0.0,9.0,0.0,1.0,181020.0,40.0,1.0,1.0,0.0,0.0,0.0
125,69.0,0.0,0.0,9.0,2.0,1.0,183791.0,25.0,1.0,1.0,0.0,3.0,0.0
127,28.0,0.0,0.0,9.0,0.0,1.0,134813.0,40.0,1.0,1.0,0.0,4.0,1.0
128,27.0,0.0,0.0,9.0,-9.223372036854776e+18,2.0,115438.0,60.0,0.0,0.0,0.0,2.0,1.0
131,24.0,0.0,0.0,9.0,0.0,1.0,247846.0,40.0,1.0,1.0,3.0,0.0,0.0
134,57.0,0.0,0.0,9.0,0.0,1.0,244478.0,48.0,0.0,1.0,3.0,2.0,1.0
135,30.0,0.0,0.0,12.0,0.0,1.0,142921.0,40.0,1.0,1.0,0.0,3.0,0.0
136,36.0,0.0,0.0,9.0,0.0,1.0,182863.0,60.0,0.0,1.0,0.0,2.0,1.0
137,49.0,0.0,0.0,4.0,0.0,1.0,171128.0,40.0,0.0,1.0,3.0,2.0,1.0
138,33.0,0.0,0.0,9.0,0.0,1.0,145402.0,35.0,0.0,1.0,0.0,1.0,0.0
139,23.0,0.0,0.0,6.0,0.0,1.0,306309.0,40.0,0.0,1.0,0.0,2.0,1.0
141,18.0,0.0,0.0,10.0,0.0,1.0,262118.0,22.0,1.0,0.0,2.0,4.0,0.0
144,34.0,0.0,0.0,14.0,0.0,1.0,159303.0,30.0,1.0,1.0,0.0,4.0,0.0
145,47.0,0.0,0.0,9.0,0.0,2.0,174995.0,30.0,1.0,1.0,0.0,3.0,0.0
146,44.0,0.0,0.0,11.0,0.0,1.0,26669.0,30.0,1.0,1.0,0.0,0.0,0.0
147,33.0,0.0,0.0,9.0,0.0,1.0,177727.0,40.0,0.0,1.0,0.0,2.0,1.0
149,19.0,1.0,0.0,9.0,-9.223372036854776e+18,1.0,456736.0,30.0,1.0,1.0,0.0,3.0,1.0
150,28.0,0.0,0.0,10.0,0.0,1.0,216604.0,14.0,1.0,1.0,3.0,3.0,1.0
151,27.0,0.0,0.0,7.0,0.0,1.0,221561.0,32.0,0.0,1.0,3.0,1.0,0.0
152,50.0,0.0,0.0,4.0,2.0,1.0,114564.0,20.0,0.0,1.0,0.0,2.0,1.0
153,22.0,0.0,0.0,7.0,0.0,1.0,315476.0,40.0,1.0,1.0,0.0,0.0,1.0
155,25.0,0.0,0.0,10.0,0.0,1.0,126110.0,40.0,1.0,1.0,0.0,4.0,0.0
156,26.0,0.0,0.0,9.0,2.0,0.0,102264.0,40.0,1.0,1.0,0.0,3.0,1.0
157,22.0,0.0,0.0,13.0,0.0,1.0,537222.0,25.0,1.0,1.0,0.0,3.0,1.0
158,42.0,0.0,1.0,10.0,0.0,1.0,113732.0,40.0,1.0,1.0,3.0,0.0,0.0
159,38.0,0.0,0.0,13.0,2.0,2.0,93225.0,40.0,1.0,1.0,0.0,3.0,1.0
160,55.0,0.0,0.0,7.0,-9.223372036854776e+18,1.0,43064.0,30.0,0.0,1.0,0.0,2.0,1.0
161,32.0,0.0,0.0,9.0,0.0,1.0,136921.0,40.0,0.0,1.0,0.0,2.0,1.0
162,22.0,0.0,0.0,9.0,0.0,1.0,388885.0,45.0,0.0,1.0,0.0,2.0,1.0
163,29.0,0.0,0.0,13.0,0.0,1.0,142249.0,40.0,1.0,1.0,0.0,4.0,1.0
167,42.0,0.0,0.0,9.0,0.0,1.0,190910.0,45.0,0.0,1.0,0.0,2.0,1.0
168,18.0,0.0,0.0,9.0,1.0,1.0,41879.0,25.0,1.0,1.0,0.0,0.0,1.0
169,58.0,0.0,0.0,9.0,0.0,0.0,137249.0,33.0,1.0,1.0,0.0,3.0,1.0
170,54.0,0.0,1.0,9.0,0.0,1.0,236157.0,40.0,0.0,1.0,0.0,2.0,1.0
171,34.0,0.0,0.0,14.0,0.0,1.0,189759.0,40.0,1.0,1.0,0.0,3.0,1.0
172,26.0,0.0,0.0,13.0,0.0,1.0,239877.0,40.0,1.0,1.0,0.0,3.0,0.0
173,61.0,0.0,0.0,8.0,2.0,1.0,21175.0,60.0,0.0,1.0,0.0,2.0,1.0
174,48.0,0.0,0.0,14.0,2.0,0.0,67229.0,40.0,1.0,1.0,3.0,0.0,0.0
175,36.0,0.0,0.0,10.0,0.0,1.0,236391.0,45.0,0.0,1.0,0.0,2.0,1.0
176,24.0,0.0,0.0,11.0,0.0,1.0,325596.0,45.0,0.0,1.0,0.0,2.0,1.0
177,40.0,0.0,0.0,10.0,0.0,1.0,83411.0,37.0,0.0,1.0,0.0,2.0,1.0
178,33.0,0.0,0.0,9.0,0.0,2.0,154227.0,50.0,0.0,1.0,0.0,2.0,1.0
183,37.0,0.0,0.0,13.0,1.0,1.0,203079.0,55.0,1.0,1.0,0.0,3.0,0.0
184,44.0,0.0,0.0,9.0,0.0,1.0,284652.0,40.0,1.0,1.0,3.0,0.0,0.0
186,54.0,0.0,0.0,9.0,2.0,1.0,59840.0,45.0,1.0,1.0,0.0,3.0,1.0
187,23.0,0.0,0.0,9.0,-9.223372036854776e+18,1.0,52753.0,50.0,1.0,1.0,0.0,3.0,1.0
189,22.0,0.0,0.0,9.0,0.0,1.0,199266.0,45.0,1.0,1.0,0.0,3.0,0.0
191,39.0,0.0,0.0,13.0,0.0,1.0,163205.0,50.0,1.0,1.0,0.0,3.0,1.0
192,47.0,0.0,0.0,10.0,2.0,1.0,411047.0,37.0,1.0,1.0,3.0,3.0,0.0
194,26.0,0.0,0.0,9.0,2.0,1.0,209440.0,55.0,1.0,1.0,3.0,0.0,0.0
195,31.0,0.0,0.0,10.0,0.0,1.0,56964.0,40.0,1.0,1.0,0.0,0.0,0.0
196,44.0,0.0,0.0,10.0,0.0,1.0,299197.0,45.0,1.0,1.0,0.0,3.0,1.0
198,19.0,0.0,0.0,9.0,0.0,1.0,355313.0,40.0,1.0,1.0,0.0,3.0,0.0
199,27.0,0.0,0.0,9.0,0.0,1.0,132267.0,40.0,0.0,1.0,0.0,2.0,1.0
200,51.0,0.0,0.0,10.0,0.0,0.0,174861.0,40.0,0.0,1.0,0.0,2.0,1.0
201,28.0,0.0,0.0,13.0,-9.223372036854776e+18,2.0,142443.0,50.0,0.0,1.0,0.0,2.0,1.0
202,57.0,0.0,0.0,13.0,2.0,1.0,26716.0,45.0,1.0,1.0,0.0,3.0,1.0
203,45.0,0.0,0.0,13.0,0.0,0.0,185588.0,40.0,1.0,1.0,0.0,0.0,0.0
205,34.0,0.0,0.0,13.0,1.0,2.0,34848.0,54.0,0.0,1.0,0.0,2.0,1.0
206,45.0,0.0,0.0,4.0,2.0,1.0,411273.0,40.0,0.0,1.0,3.0,2.0,1.0
207,73.0,0.0,0.0,9.0,0.0,0.0,143437.0,20.0,0.0,1.0,0.0,2.0,1.0
209,31.0,0.0,0.0,10.0,1.0,1.0,236861.0,55.0,0.0,1.0,0.0,2.0,1.0
210,19.0,0.0,0.0,7.0,0.0,1.0,53355.0,12.0,1.0,1.0,0.0,3.0,1.0
211,25.0,0.0,0.0,10.0,0.0,1.0,29106.0,50.0,1.0,1.0,0.0,4.0,0.0
212,38.0,1.0,0.0,11.0,0.0,0.0,213274.0,40.0,1.0,1.0,0.0,0.0,0.0
214,23.0,0.0,0.0,13.0,1.0,1.0,180497.0,32.0,1.0,1.0,3.0,4.0,0.0
215,49.0,0.0,0.0,9.0,2.0,1.0,37306.0,40.0,0.0,1.0,0.0,2.0,1.0
216,33.0,0.0,0.0,9.0,0.0,0.0,137814.0,32.0,1.0,1.0,0.0,3.0,1.0
217,21.0,0.0,0.0,3.0,2.0,1.0,447488.0,38.0,1.0,0.0,0.0,5.0,1.0
218,31.0,0.0,0.0,11.0,2.0,1.0,220915.0,40.0,1.0,1.0,0.0,3.0,1.0
219,23.0,0.0,0.0,13.0,1.0,1.0,42251.0,45.0,1.0,1.0,0.0,3.0,0.0
220,34.0,0.0,0.0,13.0,0.0,1.0,162312.0,40.0,0.0,0.0,2.0,2.0,1.0
221,25.0,0.0,0.0,9.0,-9.223372036854776e+18,1.0,77698.0,40.0,1.0,0.0,2.0,3.0,0.0
222,39.0,0.0,0.0,9.0,0.0,1.0,282951.0,40.0,1.0,1.0,0.0,0.0,1.0
224,63.0,1.0,0.0,5.0,0.0,0.0,65479.0,40.0,0.0,1.0,0.0,2.0,1.0
225,41.0,0.0,0.0,10.0,0.0,1.0,277256.0,40.0,0.0,1.0,0.0,2.0,1.0
230,18.0,0.0,0.0,8.0,1.0,1.0,96869.0,40.0,1.0,1.0,0.0,4.0,1.0
232,55.0,0.0,0.0,14.0,0.0,1.0,119751.0,50.0,1.0,0.0,2.0,0.0,0.0
233,34.0,0.0,0.0,9.0,0.0,1.0,236861.0,40.0,0.0,1.0,0.0,2.0,1.0
234,80.0,0.0,0.0,9.0,0.0,2.0,201092.0,30.0,0.0,1.0,0.0,2.0,1.0
235,34.0,0.0,0.0,11.0,0.0,1.0,147215.0,60.0,1.0,1.0,0.0,0.0,0.0
237,42.0,0.0,0.0,9.0,2.0,1.0,227968.0,28.0,1.0,0.0,3.0,0.0,0.0
238,26.0,0.0,0.0,10.0,0.0,1.0,362617.0,40.0,1.0,1.0,0.0,3.0,0.0
239,31.0,0.0,0.0,9.0,0.0,1.0,103435.0,40.0,0.0,1.0,0.0,2.0,1.0
240,25.0,0.0,0.0,9.0,2.0,0.0,281412.0,35.0,1.0,1.0,0.0,4.0,0.0
242,19.0,0.0,0.0,10.0,0.0,1.0,230165.0,12.0,1.0,1.0,0.0,4.0,0.0
243,62.0,0.0,0.0,10.0,-9.223372036854776e+18,2.0,177493.0,32.0,0.0,1.0,0.0,2.0,1.0
244,22.0,0.0,0.0,10.0,0.0,0.0,104443.0,20.0,1.0,1.0,0.0,4.0,0.0
246,35.0,0.0,0.0,9.0,0.0,1.0,143385.0,40.0,0.0,1.0,0.0,2.0,1.0
247,28.0,0.0,0.0,9.0,0.0,1.0,107189.0,40.0,0.0,1.0,0.0,4.0,0.0
248,47.0,0.0,0.0,9.0,0.0,1.0,212944.0,70.0,0.0,1.0,0.0,2.0,1.0
249,44.0,0.0,0.0,9.0,-9.223372036854776e+18,0.0,138634.0,40.0,0.0,1.0,0.0,2.0,1.0
250,21.0,0.0,0.0,10.0,0.0,1.0,99970.0,15.0,1.0,1.0,0.0,4.0,1.0
251,35.0,0.0,0.0,11.0,2.0,1.0,203717.0,50.0,1.0,1.0,0.0,3.0,1.0
252,24.0,0.0,0.0,13.0,1.0,1.0,313956.0,40.0,0.0,1.0,0.0,2.0,1.0
254,28.0,0.0,0.0,13.0,0.0,1.0,193868.0,50.0,1.0,1.0,0.0,4.0,1.0
255,21.0,0.0,0.0,10.0,0.0,1.0,250939.0,35.0,1.0,1.0,0.0,5.0,1.0
256,62.0,1.0,0.0,10.0,0.0,0.0,57629.0,40.0,1.0,1.0,3.0,3.0,1.0
257,39.0,0.0,0.0,9.0,0.0,1.0,281768.0,40.0,1.0,1.0,3.0,3.0,0.0
258,30.0,0.0,0.0,9.0,0.0,0.0,260782.0,40.0,1.0,1.0,0.0,3.0,1.0
259,72.0,0.0,1.0,15.0,1.0,2.0,243769.0,20.0,1.0,1.0,0.0,3.0,1.0
260,50.0,0.0,0.0,10.0,2.0,1.0,109937.0,50.0,0.0,1.0,0.0,1.0,0.0
261,28.0,0.0,0.0,14.0,0.0,0.0,134890.0,40.0,1.0,1.0,0.0,3.0,1.0
262,29.0,0.0,0.0,10.0,1.0,1.0,100293.0,40.0,1.0,1.0,0.0,3.0,0.0
263,26.0,0.0,0.0,13.0,0.0,1.0,132179.0,40.0,1.0,1.0,0.0,4.0,0.0
264,27.0,0.0,0.0,14.0,1.0,1.0,116372.0,40.0,1.0,1.0,0.0,3.0,0.0
265,29.0,1.0,0.0,10.0,0.0,1.0,255412.0,40.0,0.0,1.0,0.0,2.0,1.0
267,29.0,0.0,0.0,6.0,0.0,1.0,342400.0,25.0,0.0,1.0,0.0,2.0,1.0
269,31.0,0.0,0.0,7.0,0.0,1.0,169085.0,20.0,0.0,1.0,0.0,1.0,0.0
270,25.0,0.0,0.0,9.0,0.0,1.0,177221.0,75.0,0.0,1.0,0.0,2.0,1.0
271,58.0,0.0,0.0,6.0,1.0,1.0,65325.0,40.0,0.0,1.0,0.0,2.0,1.0
272,64.0,0.0,0.0,10.0,0.0,1.0,118944.0,40.0,0.0,1.0,0.0,1.0,0.0
273,46.0,0.0,0.0,14.0,0.0,0.0,149337.0,38.0,1.0,1.0,0.0,3.0,1.0
275,19.0,0.0,0.0,9.0,0.0,1.0,106183.0,35.0,1.0,1.0,1.0,4.0,0.0
276,42.0,0.0,0.0,9.0,0.0,1.0,226388.0,52.0,1.0,1.0,3.0,3.0,1.0
277,18.0,0.0,0.0,7.0,0.0,1.0,220754.0,24.0,1.0,1.0,0.0,4.0,1.0
279,20.0,0.0,0.0,10.0,0.0,1.0,347391.0,60.0,1.0,1.0,3.0,3.0,1.0
280,35.0,0.0,0.0,9.0,2.0,0.0,413930.0,40.0,0.0,1.0,0.0,2.0,1.0
281,32.0,0.0,0.0,9.0,0.0,1.0,174201.0,38.0,0.0,1.0,0.0,2.0,1.0
282,23.0,0.0,0.0,9.0,0.0,1.0,145917.0,25.0,1.0,1.0,0.0,3.0,0.0
283,31.0,0.0,0.0,10.0,2.0,1.0,241797.0,40.0,1.0,1.0,0.0,0.0,0.0
285,41.0,0.0,0.0,10.0,0.0,1.0,171234.0,48.0,1.0,1.0,0.0,3.0,0.0
286,22.0,0.0,0.0,9.0,0.0,1.0,178452.0,40.0,1.0,1.0,3.0,4.0,1.0
289,30.0,0.0,0.0,9.0,1.0,1.0,296462.0,40.0,1.0,1.0,3.0,3.0,1.0
290,42.0,0.0,0.0,9.0,2.0,1.0,171615.0,55.0,0.0,1.0,0.0,2.0,1.0
291,63.0,0.0,0.0,6.0,0.0,1.0,214071.0,40.0,0.0,1.0,0.0,2.0,1.0
292,26.0,0.0,0.0,10.0,2.0,1.0,172421.0,40.0,0.0,1.0,0.0,2.0,1.0
293,42.0,0.0,0.0,6.0,0.0,1.0,195488.0,40.0,1.0,1.0,0.0,0.0,0.0
294,23.0,0.0,0.0,10.0,2.0,1.0,316841.0,40.0,0.0,1.0,0.0,2.0,1.0
295,25.0,0.0,1.0,9.0,0.0,1.0,236267.0,40.0,1.0,1.0,0.0,0.0,1.0
296,30.0,0.0,0.0,5.0,2.0,1.0,236543.0,32.0,0.0,0.0,0.0,2.0,1.0
297,23.0,0.0,0.0,9.0,-9.223372036854776e+18,1.0,318483.0,40.0,1.0,1.0,0.0,4.0,1.0
298,34.0,1.0,0.0,11.0,0.0,2.0,163756.0,60.0,1.0,1.0,0.0,3.0,1.0
299,30.0,0.0,1.0,9.0,0.0,1.0,238186.0,48.0,0.0,1.0,0.0,5.0,1.0
300,39.0,0.0,0.0,10.0,2.0,1.0,329980.0,40.0,0.0,1.0,0.0,2.0,1.0
301,30.0,0.0,1.0,7.0,0.0,1.0,169269.0,38.0,1.0,0.0,0.0,5.0,1.0
302,38.0,0.0,0.0,10.0,0.0,0.0,34744.0,38.0,1.0,1.0,0.0,0.0,0.0
303,26.0,0.0,0.0,9.0,0.0,1.0,98114.0,40.0,1.0,1.0,0.0,4.0,0.0
304,20.0,0.0,0.0,10.0,0.0,1.0,109667.0,16.0,1.0,1.0,0.0,4.0,1.0
306,33.0,0.0,0.0,9.0,0.0,1.0,147430.0,40.0,0.0,1.0,0.0,4.0,0.0
307,24.0,0.0,0.0,13.0,0.0,1.0,224238.0,40.0,1.0,1.0,0.0,4.0,1.0
308,42.0,0.0,0.0,13.0,0.0,2.0,212894.0,60.0,0.0,1.0,0.0,2.0,1.0
309,51.0,1.0,0.0,9.0,0.0,2.0,136708.0,84.0,0.0,0.0,2.0,2.0,1.0
310,56.0,0.0,0.0,12.0,2.0,0.0,38573.0,45.0,0.0,1.0,0.0,2.0,1.0
311,22.0,0.0,0.0,10.0,0.0,1.0,197200.0,40.0,1.0,1.0,0.0,4.0,1.0
312,52.0,0.0,0.0,10.0,-9.223372036854776e+18,2.0,182796.0,60.0,0.0,1.0,0.0,2.0,1.0
314,34.0,1.0,0.0,9.0,0.0,1.0,145231.0,35.0,0.0,1.0,0.0,1.0,0.0
315,51.0,0.0,0.0,10.0,0.0,1.0,43354.0,42.0,1.0,1.0,0.0,3.0,1.0
317,19.0,0.0,0.0,10.0,0.0,1.0,355712.0,25.0,1.0,1.0,0.0,3.0,0.0
318,37.0,0.0,0.0,13.0,0.0,1.0,98776.0,40.0,0.0,1.0,0.0,2.0,1.0
319,68.0,0.0,0.0,9.0,0.0,1.0,257557.0,40.0,0.0,1.0,3.0,2.0,1.0
320,22.0,0.0,0.0,10.0,0.0,1.0,102258.0,40.0,1.0,1.0,0.0,3.0,1.0
323,52.0,0.0,0.0,2.0,1.0,1.0,55608.0,40.0,0.0,0.0,0.0,2.0,1.0
324,26.0,0.0,0.0,9.0,0.0,1.0,248057.0,40.0,1.0,0.0,0.0,4.0,1.0
326,45.0,0.0,0.0,14.0,-9.223372036854776e+18,0.0,54038.0,42.0,1.0,1.0,0.0,0.0,0.0
327,18.0,0.0,0.0,7.0,0.0,1.0,161245.0,15.0,1.0,1.0,0.0,4.0,1.0
328,43.0,0.0,0.0,10.0,0.0,2.0,388725.0,60.0,0.0,1.0,0.0,2.0,1.0
330,18.0,0.0,0.0,9.0,0.0,1.0,228216.0,20.0,1.0,1.0,0.0,4.0,1.0
333,41.0,1.0,0.0,9.0,1.0,1.0,249254.0,42.0,1.0,1.0,0.0,0.0,0.0
335,19.0,0.0,0.0,9.0,0.0,1.0,304299.0,40.0,1.0,1.0,0.0,0.0,0.0
